Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2,timestamp
-0.4943160143434802,-0.5075913633936061,0.0745403219653624,-0.6539253833829248,-0.4091706721599141,-0.5872434576943614,-0.5271229114213775,-0.4511329823758293,-0.3826199740596623,-0.3539330128938731,-0.4291599908445864,-0.537804226749065,-0.47371633478294,-0.2022583352407106,-0.2884718089570454,-0.3717860685130079,-0.5101853971160445,-0.3829251544975963,-0.3055619134813455,-0.0856794079499499,-0.3173113603418017,-0.4117647058823525,-0.5324635690852213,-0.4207675288014034,-0.4416723887998775,-0.4499122606240936,-0.3293659876401918,-0.4671549553673605,-0.4262607766842141,-0.1371023117418169,-0.4869916838330659,0.0876630807965213,90.4375
-0.512321660181582,-0.5317006179903865,0.0795757991912722,-0.674219882505531,-0.4236667429617757,-0.6005188067444873,-0.5454337376974132,-0.4680704966811623,-0.4001678492408633,-0.3649195086594945,-0.461051346608682,-0.5632867933165481,-0.5049973296711677,-0.2344548714427401,-0.320515754940108,-0.4036774242771034,-0.5321583886472874,-0.4148165102616918,-0.3376058594644079,-0.1178759441519794,-0.3308918898298615,-0.4332799267566945,-0.5626764324406802,-0.4506752117189284,-0.4616617074845499,-0.4622720683604177,-0.3612573434042874,-0.4876020447089337,-0.4499122606240936,-0.1645685511558705,-0.4987411306935221,0.1116197451743347,90.4453125
-0.5440604257267105,-0.563439383535515,0.0472266727702758,-0.7058060578316927,-0.4555580987258713,-0.6321049820706489,-0.5771725032425418,-0.4999618524452578,-0.4320592050049588,-0.39681086442359,-0.4927901121538106,-0.5950255588616766,-0.5367360952162963,-0.2664988174258026,-0.3524071107042035,-0.435568780041199,-0.5638971541924159,-0.4467078660257874,-0.3694972152285035,-0.1499198901350419,-0.362783245593957,-0.46517128252079,-0.5942626077668418,-0.482413977264057,-0.4935530632486454,-0.4940108339055463,-0.3931486991683829,-0.5194934004730293,-0.4818036163881891,-0.1967650873578999,-0.5306324864576177,0.0792706187533383,90.453125
-0.5403982604715034,-0.5567254139009685,0.0261692225528347,-0.6984817273212783,-0.4431982909895471,-0.6238651102464328,-0.5689326314183257,-0.4938582436865793,-0.4316014343480579,-0.3965056839856561,-0.4831769283588918,-0.5883115892271302,-0.5269703212024106,-0.2481879911497669,-0.3218890669108106,-0.4326695658808266,-0.5623712520027463,-0.4384679942015713,-0.3507286182955668,-0.1171129930571446,-0.3737697413595784,-0.4688334477759971,-0.5942626077668418,-0.4850080109864954,-0.4930952925917445,-0.4914168001831078,-0.3994048981460285,-0.5255970092317078,-0.4813458457312882,-0.2016479743648428,-0.5147631036850534,0.1114671549553678,90.4609375
-0.572137026016632,-0.5884641794460971,-0.0060273136491946,-0.7183184557869837,-0.4750896467536427,-0.6554512855725945,-0.6006713969634543,-0.5255970092317078,-0.4634927901121534,-0.4282444495307846,-0.5149156939040204,-0.6200503547722588,-0.5587090867475392,-0.2782482642862589,-0.3537804226749061,-0.4644083314259552,-0.5941100175478748,-0.4703593499656668,-0.3826199740596623,-0.1491569390402071,-0.405661097123674,-0.5005722133211258,-0.6258487830930034,-0.516899366750591,-0.5248340581368731,-0.5233081559472035,-0.431296253910124,-0.5573357747768364,-0.5130846112764168,-0.2336919203479053,-0.546501869230182,0.1226062409399561,90.46875
-0.6038757915617605,-0.6200503547722588,-0.0336461432822151,-0.7497520408941784,-0.5068284122987713,-0.687190051117723,-0.6324101625085828,-0.5573357747768364,-0.495231555657282,-0.4601358052948802,-0.5466544594491489,-0.6516365300984203,-0.5904478522926677,-0.3102922102693213,-0.3858243686579686,-0.4962996871900507,-0.6256961928740364,-0.5020981155107954,-0.4145113298237579,-0.1813534752422365,-0.4373998626688025,-0.5323109788662543,-0.657587548638132,-0.5486381322957196,-0.5565728236820017,-0.555046921492332,-0.4631876096742195,-0.5890745403219649,-0.5448233768215454,-0.2657358663309678,-0.5782406347753106,0.0902571145189597,90.4765625
-0.5704585336079954,-0.5866330968184935,-0.0008392462043178,-0.7163347829404131,-0.473563744563973,-0.6536202029449909,-0.5989929045548177,-0.5239185168230713,-0.4619668879224838,-0.426871137560082,-0.5133897917143507,-0.6182192721446552,-0.5570305943389025,-0.2787060349431597,-0.3525597009231704,-0.4630350194552525,-0.5922789349202713,-0.4688334477759971,-0.3812466620889597,-0.1483939879453722,-0.4042877851529713,-0.4990463111314561,-0.6241702906843667,-0.5152208743419543,-0.5233081559472035,-0.5216296635385668,-0.4299229419394213,-0.5556572823681999,-0.5115587090867472,-0.2327763790341035,-0.5448233768215454,0.1136034180209053,90.484375
-0.5370412756542302,-0.5533684290836953,0.0318150606546124,-0.682764934767681,-0.4402990768291748,-0.6202029449912256,-0.5655756466010525,-0.490653849088273,-0.4287022201876855,-0.3937590600442507,-0.4801251239795525,-0.58480201419089,-0.5237659266041043,-0.2455939574273285,-0.3194476234073392,-0.4297703517204543,-0.558861676966506,-0.435568780041199,-0.3481345845731284,-0.115434500648508,-0.3710231174181731,-0.4657816433966579,-0.5907530327306016,-0.4819562066071561,-0.4898908979934382,-0.4883649958037686,-0.3966582742046231,-0.5223926146334017,-0.478141451132982,-0.1996643015182722,-0.5114061188677802,0.1464103150988026,90.4921875
-0.5170519569695579,-0.5358205539024945,0.0620279240100713,-0.691309987029831,-0.4389257648584722,-0.6047913328755623,-0.546501869230182,-0.4917219806210418,-0.3971160448615239,-0.3865873197528034,-0.4621194781414507,-0.5667963683527882,-0.5011825741969936,-0.2126344701304642,-0.2863355458915079,-0.3965056839856561,-0.5271229114213775,-0.4048981460288391,-0.3241779201953151,-0.1061264972915232,-0.3379110399023419,-0.4361791409170668,-0.5664911879148543,-0.4532692454413668,-0.4699015793087659,-0.4750896467536427,-0.3635461966887918,-0.4930952925917445,-0.456778820477607,-0.170824750133516,-0.478141451132982,0.178912031738766,90.5
-0.5400930800335695,-0.5603875791561757,0.0296787975890749,-0.6968032349126417,-0.4328221560997936,-0.6194399938963909,-0.5623712520027463,-0.4932478828107114,-0.4218356603341722,-0.38826581216144,-0.4744792858777748,-0.5907530327306016,-0.5252918287937739,-0.2379644464789803,-0.3183794918745704,-0.4283970397497516,-0.5516899366750588,-0.4367895017929347,-0.3560692759594106,-0.1074998092622258,-0.3437094682230865,-0.452506294346532,-0.5925841153582052,-0.4758525978484775,-0.4889753566796364,-0.5068284122987713,-0.3939116502632177,-0.5223926146334017,-0.4885175860227355,-0.2028686961165785,-0.4946211947814141,0.1746395056076909,90.5078125
