Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2,timestamp
-0.6223392080567631,-0.622644388494697,-0.1645685511558705,-0.721217669947356,-0.5428397039749748,-0.7094682230868998,-0.6523994811932552,-0.5965514610513463,-0.4045929655909052,-0.4123750667582204,-0.499198901350423,-0.6476691844052792,-0.5391775387197677,-0.2813000686655981,-0.2678721293965053,-0.3998626688029293,-0.5840390630960552,-0.3772793163958186,-0.2977798123140303,-0.0113679713130384,-0.3446250095368883,-0.4378576333257034,-0.5875486381322953,-0.4969100480659186,-0.5494010833905543,-0.537804226749065,-0.5057602807660025,-0.5831235217822535,-0.555352101930266,-0.3055619134813455,-0.4776836804760811,0.1961547264820329,91.1953125
-0.5889219501029981,-0.589227130540932,-0.1316090638590062,-0.6878004119935909,-0.5094224460212097,-0.6758983749141677,-0.6189822232394899,-0.5631342030975811,-0.371328297856107,-0.3791103990234222,-0.4659342336156248,-0.6142519264515142,-0.5059128709849695,-0.2651255054550999,-0.2455939574273285,-0.3667505912870981,-0.55062180514229,-0.3440146486610204,-0.264667734798199,0.0212863355458919,-0.311512932021057,-0.4045929655909052,-0.5541313801785303,-0.4634927901121534,-0.5159838254367892,-0.5043869687952999,-0.4750896467536427,-0.5497062638284882,-0.5236133363851374,-0.2939650568398562,-0.4444190127412828,0.2288090333409632,91.203125
-0.6206607156481266,-0.6209658960860606,-0.1464103150988017,-0.6937514305333025,-0.5309376668955517,-0.7013809414816506,-0.6449225604638739,-0.5707637140459293,-0.4032196536202025,-0.4110017547875177,-0.4976729991607534,-0.6458381017776756,-0.5320057984283204,-0.2739757381551839,-0.2452887769893945,-0.3923857480735481,-0.5823605706874185,-0.3760585946440829,-0.2967116807812615,-0.0109102006561375,-0.3435568780041195,-0.4364843213550007,-0.5858701457236588,-0.4953841458762489,-0.5478751812008846,-0.5362783245593954,-0.5068284122987713,-0.5814450293736168,-0.555352101930266,-0.3258564126039517,-0.4763103685053784,0.1963073167009999,91.2109375
-0.6522468909742881,-0.6527046616311891,-0.1784542610818642,-0.725337605859464,-0.5626764324406802,-0.7329671168078122,-0.6765087357900356,-0.6025024795910578,-0.4351110093842981,-0.4428931105516132,-0.5295643549248489,-0.6774242771038373,-0.563744563973449,-0.3060196841382464,-0.2773327229724571,-0.4242771038376436,-0.6140993362325471,-0.4079499504081784,-0.328603036545357,-0.0431067368581669,-0.375448233768215,-0.4682230869001293,-0.6176089112687874,-0.5271229114213775,-0.5794613565270463,-0.568017090104524,-0.5385671778438998,-0.6131837949187453,-0.5870908674753945,-0.3579003585870142,-0.508049134050507,0.1638056000610365,91.21875
-0.6188296330205231,-0.619134813458457,-0.1454947737849999,-0.6943617914091703,-0.529411764705882,-0.6993972686350801,-0.6430914778362703,-0.5690852216372927,-0.4019989318684668,-0.409628442816815,-0.4961470969710838,-0.6440070191500721,-0.5304798962386507,-0.2841992828259704,-0.2611581597619589,-0.3911650263218124,-0.580682078278782,-0.3746852826733802,-0.2954909590295258,-0.0102998397802696,-0.3423361562523838,-0.4351110093842981,-0.5841916533150221,-0.4938582436865793,-0.546196688792248,-0.5345998321507588,-0.5053025101091017,-0.5797665369649803,-0.5536736095216293,-0.3247882810711829,-0.4747844663157087,0.1964599069199668,91.2265625
-0.5854123750667578,-0.5857175555046917,-0.1125352864881357,-0.6609445334554052,-0.4959945067521168,-0.665980010681315,-0.6096742198825053,-0.5356679636835275,-0.3687342641336686,-0.3765163653009838,-0.4628824292362856,-0.610589761196307,-0.4970626382848855,-0.2510872053101392,-0.2281986724650946,-0.3579003585870142,-0.5472648203250168,-0.341573205157549,-0.2625314717326615,0.0223544670786606,-0.3092240787365526,-0.4018463416494999,-0.550774395361257,-0.4605935759517811,-0.5127794308384829,-0.5013351644159606,-0.4720378423743034,-0.546349279011215,-0.5202563515678642,-0.2916762035553517,-0.4415197985809105,0.2289616235599302,91.234375
-0.6078431372549016,-0.6174563210498203,-0.0797283894102383,-0.6495002670328828,-0.5278858625162124,-0.6826123445487141,-0.6244754711223006,-0.5526054779888606,-0.4006256198977642,-0.4084077210650793,-0.4900434882124052,-0.6330205233844507,-0.5150682841229873,-0.2396429388876169,-0.1950865949492633,-0.3482871747920954,-0.5646601052872507,-0.3575951781490802,-0.2944228274967571,-0.0098420691233687,-0.3411154345006481,-0.4337376974135954,-0.5820553902494846,-0.4923323414969097,-0.5436026550698096,-0.5330739299610892,-0.4868390936140989,-0.563744563973449,-0.5417715724422061,-0.3051041428244446,-0.4734111543450061,0.1964599069199668,91.2421875
-0.6395819028000301,-0.6491950865949488,-0.1119249256122678,-0.6810864423590445,-0.559624628061341,-0.7141985198748756,-0.6560616464484623,-0.5843442435339892,-0.4325169756618597,-0.4401464866102079,-0.5219348439765007,-0.6646066987106123,-0.546807049668116,-0.2716868848706794,-0.2271305409323258,-0.3803311207751579,-0.5963988708323793,-0.3894865339131758,-0.3264667734798195,-0.0420386053253982,-0.3730067902647436,-0.4654764629587239,-0.6137941557946132,-0.5242236972610053,-0.5753414206149382,-0.5648126955062177,-0.5187304493781946,-0.5954833295185775,-0.5735103379873346,-0.3371480888075071,-0.5051499198901347,0.1641107804989704,91.25
-0.648584725719081,-0.6388189517051953,-0.1441214618142972,-0.7019913023575185,-0.546196688792248,-0.7233539330128935,-0.6743724727244981,-0.5928892957961391,-0.4377050431067364,-0.4418249790188445,-0.5275806820782785,-0.6768139162279695,-0.5667963683527882,-0.2944228274967571,-0.2593270771343553,-0.4122224765392534,-0.6147096971084149,-0.4213778896772713,-0.3583581292439151,-0.0743877317463946,-0.3762111848630499,-0.4680704966811623,-0.6162355992980846,-0.5240711070420382,-0.5799191271839471,-0.5703059433890284,-0.5324635690852213,-0.6076905470359346,-0.5754940108339052,-0.3353170061799034,-0.4912642099641409,0.1746395056076909,91.2578125
-0.615167467765316,-0.6052491035324632,-0.111161974517433,-0.6684214541847864,-0.5129320210574498,-0.6897840848401614,-0.6409552147707328,-0.5594720378423739,-0.4081025406271454,-0.4085603112840463,-0.4941634241245132,-0.6433966582742042,-0.5333791103990231,-0.2613107499809258,-0.226214999618524,-0.3789578088044552,-0.5812924391546499,-0.3881132219424731,-0.3252460517280838,-0.0414282444495303,-0.3430991073472186,-0.4349584191653311,-0.5828183413443195,-0.49080643930724,-0.546501869230182,-0.5370412756542302,-0.499198901350423,-0.5742732890821695,-0.542229343099107,-0.3020523384451052,-0.4579995422293427,0.2072938124666213,91.265625
