siTimeStamp,x,y,character typing,sentence
2550.0586659,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.0752736,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.0918376,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.1086054,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.1252717,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.1419267,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.1585641,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.1752106,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.1917418,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.2085324,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.2252372,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.2418682,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.2586488,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.2752737,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.29177,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.3085595,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.3252672,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.3427633,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.3595247,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.3751982,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.3917868,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.4085167,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.4252235,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.4418852,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.4585033,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.4751031,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.4917582,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.5084665,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.5251693,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.5417691,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.5585606,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.5751512,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.5916211,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.6084281,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.6251318,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.6417663,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.6584746,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.6751073,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.6917092,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.7084535,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.7265737,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.7427027,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.7592908,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.7750315,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.7916671,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.8084061,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.8250895,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.8417477,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.8584158,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.8760804,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.8916591,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.9083897,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.9250192,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.9416567,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.9583689,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.9749751,-1,-1,EMPTY_ET_STREAM,MainMenu
2550.9919342,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.0083639,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.0250282,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.0416059,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.0582678,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.0748758,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.0915384,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.1082568,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.1249109,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.141549,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.1583534,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.1749201,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.1914053,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.2082467,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.2249275,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.2415122,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.2581974,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.275215,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.291468,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.3082226,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.324885,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.3418331,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.35813,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.3748956,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.3914146,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.4082253,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.4248176,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.4415368,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.4581932,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.4748338,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.491311,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.5081196,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.5248804,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.541408,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.5581937,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.5748057,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.5913741,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.608163,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.624851,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.6414886,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.6580481,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.6747292,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.6912988,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.7081082,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.724704,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.741407,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.7580747,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.7747802,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.7912946,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.8081348,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.8247525,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.8414016,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.8580424,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.8747469,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.8913154,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.9079956,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.9262492,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.9427249,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.9590545,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.9749202,-1,-1,EMPTY_ET_STREAM,MainMenu
2551.9912907,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.0079353,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.0247032,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.0413556,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.0579889,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.0746384,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.0911789,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.1079419,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.124636,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.1412962,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.157985,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.1745385,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.1911582,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.2078853,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.2246346,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.2412186,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.2579771,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.2746059,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.2911054,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.3079398,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.3245119,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.3412663,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.3578439,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.3745615,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.3910993,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.4078535,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.4245208,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.4411969,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.4579113,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.4744546,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.491119,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.5078456,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.5244869,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.5411326,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.557816,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.5744208,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.5910652,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.6077609,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.6253705,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.6410885,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.6579355,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.6744869,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.6909306,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.7077375,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.7243889,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.7410651,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.7577875,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.7744282,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.7910041,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.8077516,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.824387,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.8410191,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.8576735,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.8743489,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.8909117,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.9076851,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.9244,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.9411857,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.9577129,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.9751745,-1,-1,EMPTY_ET_STREAM,MainMenu
2552.9909552,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.0076256,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.0242986,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.0409449,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.0576626,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.0741988,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.0910216,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.107707,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.1243548,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.1410065,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.1575693,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.1750672,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.1909096,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.2076024,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.2244634,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.240926,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.2576319,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.2741158,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.2909564,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.3075542,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.3242769,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.3411788,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.3575356,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.3741386,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.3909422,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.4075673,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.4241745,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.4408306,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.4575203,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.4740458,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.4907741,-1,-1,EMPTY_ET_STREAM,MainMenu
