TimeStamp,x,y,character typing,sentence
2444.7099283,-1,-1,EMPTY_ET_STREAM,MainMenu
2444.7266535,-1,-1,EMPTY_ET_STREAM,MainMenu
2444.743204,-1,-1,EMPTY_ET_STREAM,MainMenu
2444.7599392,-1,-1,EMPTY_ET_STREAM,MainMenu
2444.7766283,-1,-1,EMPTY_ET_STREAM,MainMenu
2444.7931723,-1,-1,EMPTY_ET_STREAM,MainMenu
2444.8098763,-1,-1,EMPTY_ET_STREAM,MainMenu
2444.8267413,-1,-1,EMPTY_ET_STREAM,MainMenu
2444.8431914,-1,-1,EMPTY_ET_STREAM,MainMenu
2444.8598858,-1,-1,EMPTY_ET_STREAM,MainMenu
2444.8765548,-1,-1,EMPTY_ET_STREAM,MainMenu
2444.8930966,-1,-1,EMPTY_ET_STREAM,MainMenu
2444.9099703,-1,-1,EMPTY_ET_STREAM,MainMenu
2444.9265886,-1,-1,EMPTY_ET_STREAM,MainMenu
2444.9432267,-1,-1,EMPTY_ET_STREAM,MainMenu
2444.9598586,-1,-1,EMPTY_ET_STREAM,MainMenu
2444.9765958,-1,-1,EMPTY_ET_STREAM,MainMenu
2444.9931031,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.0098348,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.0265331,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.0434974,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.0598413,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.0764185,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.0931049,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.1098277,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.1263875,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.1431066,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.159757,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.1763932,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.1930175,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.2098673,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.2264606,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.2445623,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.260892,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.2777073,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.2930318,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.3097245,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.3264166,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.3430777,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.3597498,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.3764092,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.3929835,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.4097046,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.4263975,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.4434488,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.4596831,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.476341,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.4929618,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.5097101,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.526377,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.5430806,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.5596246,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.5763166,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.5928743,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.6097769,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.6263308,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.6429783,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.6595769,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.6763904,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.6928411,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.7096199,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.7263066,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.7428997,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.7596091,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.7763032,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.7928489,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.8095874,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.8262816,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.8430578,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.8594923,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.8762297,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.8927688,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.9095434,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.9262681,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.9431416,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.9595081,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.9761298,-1,-1,EMPTY_ET_STREAM,MainMenu
2445.9927873,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.0094289,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.0261785,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.0427924,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.0595162,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.0761522,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.0927562,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.1095004,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.1262281,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.1429118,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.1595465,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.1761848,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.1926767,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.2096098,-1,-1,EMPTY_ET_STREAM,MainMenu
